"","CNT","CNTSCHID","CNTSTUID","STRATUM","MeanCrtScore","MeanMthScore","MeanReadScore","MeanSciScore"
"2192","Philippines",60800188,60802307,"PHL - stratum 14: NCR",57.22,607.4292,684.0403,717.8134
"2193","Philippines",60800070,60802308,"PHL - stratum 04: REGION 4A",22.97,377.1352,374.8515,345.3497
"2194","Philippines",60800096,60802309,"PHL - stratum 05: REGION 4B",6.61,331.6437,311.5915,362.5284
"2195","Philippines",60800095,60802310,"PHL - stratum 04: REGION 4A",13.14,305.4645,265.5809,285.2653
"2196","Philippines",60800084,60802311,"PHL - stratum 03: REGION 3",12.63,323.0258,348.0104,296.3899
"2197","Philippines",60800007,60802312,"PHL - stratum 13: REGION 12",6.14,339.7389,302.7707,320.4053
"2198","Philippines",60800044,60802313,"PHL - stratum 08: REGION 7",5.8,352.3795,324.2606,358.1515
"2199","Philippines",60800116,60802314,"PHL - stratum 11: REGION 10",10.17,353.9625,328.2524,336.8098
"2200","Philippines",60800120,60802315,"PHL - stratum 04: REGION 4A",8.04,287.3268,303.5508,221.8707
"2201","Philippines",60800079,60802316,"PHL - stratum 04: REGION 4A",9.2,343.5422,330.3908,334.8679
"2202","Philippines",60800077,60802317,"PHL - stratum 11: REGION 10",5.01,281.7896,290.2324,320.8848
"2203","Philippines",60800111,60802318,"PHL - stratum 07: REGION 6",17.81,366.4009,426.6756,408.1659
"2204","Philippines",60800090,60802320,"PHL - stratum 03: REGION 3",13.96,389.5493,422.0178,379.4957
"2205","Philippines",60800110,60802321,"PHL - stratum 05: REGION 4B",41.17,413.2242,460.7448,424.0674
"2206","Philippines",60800102,60802323,"PHL - stratum 08: REGION 7",19.31,362.7961,383.2199,376.5193
"2207","Philippines",60800085,60802324,"PHL - stratum 13: REGION 12",4.73,292.3861,267.4354,292.5212
"2208","Philippines",60800167,60802325,"PHL - stratum 11: REGION 10",3.39,327.6286,302.6925,275.6214
"2209","Philippines",60800141,60802326,"PHL - stratum 05: REGION 4B",13.42,352.1563,354.6701,359.2964
"2210","Philippines",60800120,60802327,"PHL - stratum 04: REGION 4A",36.18,424.5437,481.8647,478.2649
"2211","Philippines",60800114,60802328,"PHL - stratum 03: REGION 3",1.08,244.0274,222.453,248.1738
"2212","Philippines",60800063,60802329,"PHL - stratum 01: REGION 1",6.48,340.3482,244.5522,307.6594
"2213","Philippines",60800173,60802330,"PHL - stratum 14: NCR",17.47,309.8543,347.7015,355.8877
"2214","Philippines",60800114,60802331,"PHL - stratum 03: REGION 3",26.08,394.2134,400.5993,367.4969
"2215","Philippines",60800072,60802332,"PHL - stratum 10: REGION 9",41.62,471.1628,497.1945,526.4926
"2216","Philippines",60800160,60802333,"PHL - stratum 02: REGION 2",3.49,295.174,251.1592,307.3258
"2217","Philippines",60800140,60802334,"PHL - stratum 04: REGION 4A",51.99,570.3878,597.1048,565.1939
"2218","Philippines",60800049,60802335,"PHL - stratum 03: REGION 3",8.13,345.8353,295.8883,316.8093
"2219","Philippines",60800112,60802336,"PHL - stratum 12: REGION 11",20.43,368.0701,374.4281,375.3216
"2220","Philippines",60800183,60802337,"PHL - stratum 12: REGION 11",4.04,308.5899,258.5622,275.8831
"2221","Philippines",60800091,60802338,"PHL - stratum 16: CARAGA",3.02,304.7442,270.6121,266.5166
"2222","Philippines",60800028,60802339,"PHL - stratum 08: REGION 7",9.78,310.743,317.3613,301.8681
"2223","Philippines",60800065,60802341,"PHL - stratum 12: REGION 11",23.49,368.6467,390.745,406.041
"2224","Philippines",60800084,60802342,"PHL - stratum 03: REGION 3",40.14,451.1992,486.6873,454.8804
"2225","Philippines",60800183,60802343,"PHL - stratum 12: REGION 11",20.92,396.438,435.1046,394.5847
"2226","Philippines",60800087,60802344,"PHL - stratum 09: REGION 8",22.67,386.321,387.301,388.4421
"2227","Philippines",60800082,60802345,"PHL - stratum 08: REGION 7",5.38,327.0698,306.5375,349.3603
"2228","Philippines",60800012,60802346,"PHL - stratum 14: NCR",26.9,289.353,332.4135,280.148
"2229","Philippines",60800083,60802347,"PHL - stratum 07: REGION 6",5.37,293.2052,299.3956,332.241
"2230","Philippines",60800093,60802348,"PHL - stratum 14: NCR",30.47,479.618,526.4291,522.2968
"2231","Philippines",60800181,60802349,"PHL - stratum 06: REGION 5",13.54,431.4996,407.455,454.5396
"2232","Philippines",60800108,60802350,"PHL - stratum 04: REGION 4A",32.68,430.0573,469.6027,458.1757
"2233","Philippines",60800136,60802351,"PHL - stratum 02: REGION 2",34.63,464.5045,467.6147,467.4427
"2234","Philippines",60800121,60802352,"PHL - stratum 08: REGION 7",11.86,341.9891,322.3988,357.4247
"2235","Philippines",60800006,60802353,"PHL - stratum 11: REGION 10",16.51,375.3127,398.3057,327.3393
"2236","Philippines",60800080,60802354,"PHL - stratum 14: NCR",14.34,314.9349,356.4735,295.1125
"2237","Philippines",60800114,60802355,"PHL - stratum 03: REGION 3",5.85,351.8579,348.5601,349.019
"2238","Philippines",60800091,60802356,"PHL - stratum 16: CARAGA",6.03,318.9629,270.1395,272.1337
"2239","Philippines",60800157,60802357,"PHL - stratum 14: NCR",24.08,405.2483,456.1311,429.3567
"2240","Philippines",60800132,60802358,"PHL - stratum 14: NCR",6.72,300.1437,346.0953,293.1355
"2241","Philippines",60800072,60802359,"PHL - stratum 10: REGION 9",27.16,406.2961,403.181,455.0218
"2242","Philippines",60800172,60802360,"PHL - stratum 07: REGION 6",26.73,435.9636,413.4744,419.0455
"2243","Philippines",60800032,60802361,"PHL - stratum 03: REGION 3",10.58,322.3216,296.3229,314.563
"2244","Philippines",60800112,60802362,"PHL - stratum 12: REGION 11",30.2,357.0868,394.1236,368.9926
"2245","Philippines",60800131,60802363,"PHL - stratum 04: REGION 4A",17.57,390.8324,389.54,359.046
"2246","Philippines",60800167,60802364,"PHL - stratum 11: REGION 10",9.13,353.1546,344.6519,379.5135
"2247","Philippines",60800043,60802365,"PHL - stratum 14: NCR",44.72,504.1069,552.7002,557.6973
"2248","Philippines",60800074,60802366,"PHL - stratum 06: REGION 5",3.23,329.3627,292.6504,376.1232
"2249","Philippines",60800073,60802367,"PHL - stratum 14: NCR",32.42,431.1001,496.1413,489.7793
"2250","Philippines",60800164,60802368,"PHL - stratum 14: NCR",1,245.3221,243.009,248.2832
"2251","Philippines",60800146,60802369,"PHL - stratum 04: REGION 4A",13.12,340.7825,307.1166,343.0786
"2252","Philippines",60800169,60802370,"PHL - stratum 06: REGION 5",3.11,277.159,231.4636,311.7448
"2253","Philippines",60800008,60802371,"PHL - stratum 06: REGION 5",18.95,380.9188,382.6431,392.8424
"2254","Philippines",60800083,60802372,"PHL - stratum 07: REGION 6",9.58,383.2104,372.6629,384.775
"2255","Philippines",60800105,60802373,"PHL - stratum 14: NCR",12.95,368.9749,429.0453,352.5471
"2256","Philippines",60800002,60802374,"PHL - stratum 03: REGION 3",18.7,391.0686,376.2186,394.4661
"2257","Philippines",60800159,60802376,"PHL - stratum 09: REGION 8",27.08,360.9644,391.295,367.0031
"2258","Philippines",60800064,60802377,"PHL - stratum 04: REGION 4A",27.86,441.3191,471.8258,511.2592
"2259","Philippines",60800064,60802378,"PHL - stratum 04: REGION 4A",9.44,343.0345,295.1583,324.3258
"2260","Philippines",60800184,60802379,"PHL - stratum 14: NCR",16.46,360.9277,371.0702,418.6957
"2261","Philippines",60800163,60802380,"PHL - stratum 03: REGION 3",21.05,332.6378,359.4039,337.3512
"2262","Philippines",60800122,60802381,"PHL - stratum 02: REGION 2",0.8,303.1247,257.5496,272.628
"2263","Philippines",60800139,60802382,"PHL - stratum 08: REGION 7",2.53,305.65,235.7326,315.1616
"2264","Philippines",60800181,60802383,"PHL - stratum 06: REGION 5",7.7,339.9531,315.4307,325.2423
"2265","Philippines",60800129,60802384,"PHL - stratum 04: REGION 4A",16.08,371.633,396.8587,391.4928
"2266","Philippines",60800012,60802385,"PHL - stratum 14: NCR",4.43,265.7385,256.1756,240.9573
"2267","Philippines",60800127,60802386,"PHL - stratum 01: REGION 1",10.66,352.8484,346.1105,360.6537
"2268","Philippines",60800069,60802387,"PHL - stratum 08: REGION 7",6.71,335.6229,310.9314,363.9224
"2269","Philippines",60800011,60802388,"PHL - stratum 08: REGION 7",9.33,340.6062,329.5586,360.212
"2270","Philippines",60800057,60802389,"PHL - stratum 01: REGION 1",9.13,345.1696,328.4061,325.5227
"2271","Philippines",60800176,60802390,"PHL - stratum 09: REGION 8",18.19,404.7313,379.6708,418.6021
"2272","Philippines",60800109,60802391,"PHL - stratum 09: REGION 8",5.71,325.541,326.4314,333.3653
"2273","Philippines",60800035,60802392,"PHL - stratum 09: REGION 8",0.59,292.9391,258.005,305.1388
"2274","Philippines",60800034,60802393,"PHL - stratum 07: REGION 6",18.29,366.7415,366.0185,327.3276
"2275","Philippines",60800119,60802394,"PHL - stratum 15: CAR",2.97,302.6159,273.7521,288.1271
"2276","Philippines",60800034,60802395,"PHL - stratum 07: REGION 6",6.68,318.3389,304.4998,252.4306
"2277","Philippines",60800112,60802396,"PHL - stratum 12: REGION 11",24.36,375.0396,408.1402,350.036
"2278","Philippines",60800079,60802397,"PHL - stratum 04: REGION 4A",14.19,328.1799,350.1748,313.362
"2279","Philippines",60800174,60802398,"PHL - stratum 07: REGION 6",1.82,330.0953,220.4627,299.7376
"2280","Philippines",60800011,60802399,"PHL - stratum 08: REGION 7",1.44,282.0762,270.185,353.7383
"2281","Philippines",60800024,60802400,"PHL - stratum 01: REGION 1",16.76,356.6806,349.1634,357.6075
"2282","Philippines",60800180,60802401,"PHL - stratum 03: REGION 3",5.45,323.0988,299.9512,307.0932
"2283","Philippines",60800146,60802402,"PHL - stratum 04: REGION 4A",2.7,338.6886,262.4322,326.1686
"2284","Philippines",60800027,60802403,"PHL - stratum 07: REGION 6",9.58,328.0084,276.7267,332.735
"2285","Philippines",60800099,60802405,"PHL - stratum 03: REGION 3",40.68,465.3301,483.3892,487.3489
"2286","Philippines",60800015,60802406,"PHL - stratum 08: REGION 7",7.52,302.91,307.4236,338.2533
"2287","Philippines",60800150,60802407,"PHL - stratum 05: REGION 4B",12.65,311.9143,285.4101,311.5537
"2288","Philippines",60800111,60802408,"PHL - stratum 07: REGION 6",26.12,419.3394,456.7892,430.2792
"2289","Philippines",60800148,60802409,"PHL - stratum 08: REGION 7",1.84,286.2493,292.0285,273.0267
"2290","Philippines",60800139,60802410,"PHL - stratum 08: REGION 7",12.67,380.1085,364.9708,388.4691
"2291","Philippines",60800052,60802412,"PHL - stratum 12: REGION 11",5.11,335.3011,310.558,333.2738
"2292","Philippines",60800171,60802413,"PHL - stratum 03: REGION 3",7.91,350.0354,356.5361,373.084
